date,cosp,comp,tot1,tot2,p_cosp,p_comp
"2018-01-30","0","0","1109","1109","0","0"
"2018-01-31","0","1","1077","1077","0","0.0009285051067780873"
"2018-02-01","0","1","1054","1054","0","0.0009487666034155598"
"2018-02-02","0","0","975","975","0","0"
"2018-02-03","0","1","725","725","0","0.001379310344827586"
"2018-02-04","1","0","668","668","0.0014970059880239522","0"
"2018-02-05","0","2","1084","1084","0","0.0018450184501845018"
"2018-02-06","0","0","1084","1084","0","0"
"2018-02-07","0","1","1065","1065","0","0.0009389671361502347"
"2018-02-08","0","0","1069","1069","0","0"
"2018-02-09","0","1","1042","1042","0","0.0009596928982725527"
"2018-02-10","0","1","693","693","0","0.001443001443001443"
"2018-02-11","0","1","676","676","0","0.0014792899408284023"
"2018-02-12","0","1","1067","1067","0","0.0009372071227741331"
"2018-02-13","0","0","1073","1073","0","0"
"2018-02-14","0","0","1030","1030","0","0"
"2018-02-15","0","0","738","738","0","0"
"2018-02-16","0","2","967","967","0","0.002068252326783868"
"2018-02-17","0","1","623","623","0","0.0016051364365971107"
"2018-02-18","0","0","676","676","0","0"
"2018-02-19","0","0","987","987","0","0"
"2018-02-20","1","1","1093","1093","0.0009149130832570906","0.0009149130832570906"
"2018-02-21","1","0","1068","1068","0.0009363295880149813","0"
"2018-02-22","1","0","1155","1155","0.0008658008658008658","0"
"2018-02-23","2","1","1011","1011","0.0019782393669634025","0.0009891196834817012"
"2018-02-24","0","0","679","679","0","0"
"2018-02-25","0","0","619","619","0","0"
"2018-02-26","0","0","989","989","0","0"
"2018-02-27","0","1","1106","1106","0","0.0009041591320072332"
"2018-02-28","0","1","926","926","0","0.0010799136069114472"
"2018-03-01","0","1","996","996","0","0.001004016064257028"
"2018-03-02","0","0","949","949","0","0"
"2018-03-03","0","0","622","622","0","0"
"2018-03-04","0","0","764","764","0","0"
"2018-03-05","0","0","1091","1091","0","0"
"2018-03-06","0","0","1089","1089","0","0"
"2018-03-07","0","1","1067","1067","0","0.0009372071227741331"
"2018-03-08","0","0","1114","1114","0","0"
"2018-03-09","0","1","1002","1002","0","0.000998003992015968"
"2018-03-10","0","0","636","636","0","0"
"2018-03-11","0","0","642","642","0","0"
"2018-03-12","0","3","1053","1053","0","0.002849002849002849"
"2018-03-13","0","0","1053","1053","0","0"
"2018-03-14","0","3","1043","1043","0","0.0028763183125599234"
"2018-03-15","0","1","1028","1028","0","0.0009727626459143969"
"2018-03-16","0","1","1059","1059","0","0.0009442870632672333"
"2018-03-17","0","0","720","720","0","0"
"2018-03-18","0","3","640","640","0","0.0046875"
"2018-03-19","1","1","961","961","0.001040582726326743","0.001040582726326743"
"2018-03-20","0","0","1010","1010","0","0"
"2018-03-21","1","2","1014","1014","0.0009861932938856016","0.0019723865877712033"
"2018-03-22","0","0","945","945","0","0"
"2018-03-23","0","1","956","956","0","0.0010460251046025104"
"2018-03-24","0","0","640","640","0","0"
"2018-03-25","0","0","492","492","0","0"
"2018-03-26","0","0","936","936","0","0"
"2018-03-27","1","1","954","954","0.0010482180293501049","0.0010482180293501049"
"2018-03-28","0","0","924","924","0","0"
"2018-03-29","0","0","883","883","0","0"
"2018-03-30","0","1","925","925","0","0.001081081081081081"
"2018-03-31","0","0","652","652","0","0"
"2018-04-01","0","0","390","390","0","0"
"2018-04-02","0","0","522","522","0","0"
"2018-04-03","0","0","996","996","0","0"
"2018-04-04","0","0","1050","1050","0","0"
"2018-04-05","0","1","1074","1074","0","0.000931098696461825"
"2018-04-06","0","0","953","953","0","0"
