S21_1,S21_2,S21_3,S21_4,D38_01_W9,D38_02_W9,D38_03_W9,D38_04_W9,gender,ANNO,AMP,zgp5,scolarita,D4_post,D38_post_01,D38_post_02,D38_post_03,D38_post_04,moon1,vacc1,stam1,chem1,moon2,vacc2,stam2,chem2,consp1,consp2,moon1_b,vacc1_b,stam1_b,chem1_b,moon2_b,vacc2_b,stam2_b,chem2_b,moon1_c,vacc1_c,stam1_c,chem1_c,moon2_c,vacc2_c,stam2_c,chem2_c,diff_moon,diff_vacc,diff_stam,diff_chem,anno2,age,titstu,sindes,stealth1,stealth2,stealth3,stealth4,stealth
5,5,6,5,1,3,3,4,1,1960,6,2,9,8,1,1,1,1,0,2,2,3,0,0,0,0,1.75,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,-2,-2,-3,1960,60,Alta,Cdx,5,5,6,5,5.25
9,2,4,6,11,10,11,11,1,1971,3,4,2,8,9,8,8,6,10,9,10,10,8,7,7,5,9.75,6.75,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,1,-2,-2,-3,-5,1971,49,Bassa,Cdx,9,2,4,6,5.25
7,8,7,7,6,7,7,8,2,1961,4,4,2,4,3,3,2,3,5,6,6,7,2,2,1,2,6,1.75,0,1,1,1,0,0,0,0,1,2,2,2,1,1,1,1,-3,-4,-5,-5,1961,59,Bassa,Csx,7,8,7,7,7.25
11,9,11,11,1,5,2,2,2,1944,3,4,5,,,,,,0,4,1,1,,,,,1.5,,0,0,0,0,,,,,0,1,1,1,,,,,,,,,1944,76,Media,,11,9,11,11,10.5
7,7,8,6,1,1,5,1,2,1967,2,2,5,,,,,,0,0,4,0,,,,,1,,0,0,0,0,,,,,0,0,1,0,,,,,,,,,1967,53,Media,,7,7,8,6,7
4,1,1,1,3,1,7,1,1,1965,1,2,2,8,1,7,8,1,2,0,6,0,0,6,7,0,2,3.25,0,0,1,0,0,1,1,0,1,0,2,0,0,2,2,0,-2,6,1,0,1965,55,Bassa,Cdx,4,1,1,1,1.75
8,7,7,8,8,5,5,5,1,1963,6,3,5,5,2,5,4,1,7,4,4,4,1,4,3,0,4.75,2,1,0,0,0,0,0,0,0,2,1,1,1,1,1,1,0,-6,0,-1,-4,1963,57,Media,Csx,8,7,7,8,7.5
9,9,6,11,12,11,10,11,,,,,,,,,,,,10,9,10,,,,,,,,1,1,1,,,,,,2,2,2,,,,,,,,,,,,,9,9,6,11,8.75
7,10,11,11,1,1,3,1,,,,,,,,,,,0,0,2,0,,,,,0.5,,0,0,0,0,,,,,0,0,1,0,,,,,,,,,,,,,7,10,11,11,9.75
7,6,1,8,1,1,6,1,,,,,,,,,,,0,0,5,0,,,,,1.25,,0,0,0,0,,,,,0,0,1,0,,,,,,,,,,,,,7,6,1,8,5.5
8,9,10,7,4,12,4,8,1,1992,5,3,9,12,1,2,2,1,3,,3,7,0,1,1,0,,0.5,0,,0,1,0,0,0,0,1,,1,2,0,1,1,0,-3,,-2,-7,1992,28,Alta,,8,9,10,7,8.5
8,8,11,11,1,1,5,3,1,1937,5,2,5,9,1,9,7,1,0,0,4,2,0,8,6,0,1.5,3.5,0,0,0,0,0,1,1,0,0,0,1,1,0,2,2,0,0,8,2,-2,1937,83,Media,Cdx,8,8,11,11,9.5
