S21_1,S21_2,S21_3,S21_4,D38_01_W9,D38_02_W9,D38_03_W9,D38_04_W9,gender,ANNO,AMP,zgp5,scolarita,D4_post,D38_post_01,D38_post_02,D38_post_03,D38_post_04,moon1,vacc1,stam1,chem1,moon2,vacc2,stam2,chem2,consp1,consp2,moon1_b,vacc1_b,stam1_b,chem1_b,moon2_b,vacc2_b,stam2_b,chem2_b,moon1_c,vacc1_c,stam1_c,chem1_c,moon2_c,vacc2_c,stam2_c,chem2_c,diff_moon,diff_vacc,diff_stam,diff_chem,anno2,age,titstu,sindes,stealth1,stealth2,stealth3,stealth4,stealth
11,10,8,11,2,5,9,7,2,1956,2,2,2,4,1,2,12,1,1,4,8,6,0,1,,0,4.75,,0,0,1,1,0,0,,0,1,1,2,2,0,1,,0,-1,-3,,-6,1956,64,Bassa,Csx,11,10,8,11,10
8,9,7,8,8,9,5,10,2,1934,6,1,5,3,8,7,7,6,7,8,4,9,7,6,6,5,7,6,1,1,0,1,1,1,1,0,2,2,1,2,2,2,2,1,0,-2,2,-4,1934,86,Media,Csx,8,9,7,8,8
4,3,5,3,2,1,6,1,1,1949,3,1,2,,,,,,1,0,5,0,,,,,1.5,,0,0,0,0,,,,,1,0,1,0,,,,,,,,,1949,71,Bassa,,4,3,5,3,3.75
12,12,12,12,6,6,6,6,,,,,,,,,,,5,5,5,5,,,,,5,,0,0,0,0,,,,,1,1,1,1,,,,,,,,,,,,,,,,,
1,1,1,1,6,6,4,8,,,,,,,,,,,5,5,3,7,,,,,5,,0,0,0,1,,,,,1,1,1,2,,,,,,,,,,,,,1,1,1,1,1
7,8,6,7,1,1,1,1,,,,,,,,,,,0,0,0,0,,,,,0,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,7,8,6,7,7
10,9,10,10,10,9,9,11,,,,,,,,,,,9,8,8,10,,,,,8.75,,1,1,1,1,,,,,2,2,2,2,,,,,,,,,,,,,10,9,10,10,9.75
6,3,1,6,1,11,4,10,1,1946,6,1,6,6,1,9,1,1,0,10,3,9,0,8,0,0,5.5,2,0,1,0,1,0,1,0,0,0,2,1,2,0,2,0,0,0,-2,-3,-9,1946,74,Alta,C,6,3,1,6,4
9,5,7,11,1,12,6,1,,,,,,,,,,,0,,5,0,,,,,,,0,,0,0,,,,,0,,1,0,,,,,,,,,,,,,9,5,7,11,8
10,9,10,10,10,9,10,9,,,,,,,,,,,9,8,9,8,,,,,8.5,,1,1,1,1,,,,,2,2,2,2,,,,,,,,,,,,,10,9,10,10,9.75
8,7,8,7,6,5,6,8,1,1975,6,4,5,7,2,1,6,2,5,4,5,7,1,0,5,1,5.25,1.75,0,0,0,1,0,0,0,0,1,1,1,2,1,0,1,1,-4,-4,0,-6,1975,45,Media,Cdx,8,7,8,7,7.5
7,4,7,9,3,1,4,1,1,1960,6,1,5,5,1,3,3,1,2,0,3,0,0,2,2,0,1.25,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,-2,2,-1,0,1960,60,Media,Csx,7,4,7,9,6.75
10,10,10,10,8,9,8,8,,,,,,,,,,,7,8,7,7,,,,,7.25,,1,1,1,1,,,,,2,2,2,2,,,,,,,,,,,,,10,10,10,10,10
1,2,7,1,1,1,1,1,,,,,,,,,,,0,0,0,0,,,,,0,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,1,2,7,1,2.75
6,6,6,8,2,2,3,1,2,1945,1,2,5,5,3,7,2,1,1,1,2,0,2,6,1,0,1,2.25,0,0,0,0,0,1,0,0,1,1,1,0,1,2,1,0,1,5,-1,0,1945,75,Media,Csx,6,6,6,8,6.5
7,7,7,8,7,7,7,4,1,1940,2,2,4,9,4,6,8,5,6,6,6,3,3,5,7,4,5.25,4.75,1,1,1,0,0,0,1,0,2,2,2,1,1,1,2,1,-3,-1,1,1,1940,80,Media,Cdx,7,7,7,8,7.25
8,7,7,8,2,8,4,1,2,1985,5,2,9,2,3,1,1,4,1,7,3,0,2,0,0,3,2.75,1.25,0,1,0,0,0,0,0,0,1,2,1,0,1,0,0,1,1,-7,-3,3,1985,35,Alta,Sx,8,7,7,8,7.5
7,8,6,11,1,1,4,1,1,1973,3,2,3,2,1,1,1,1,0,0,3,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-3,0,1973,47,Media,Sx,7,8,6,11,8
5,9,11,9,2,2,7,2,2,1985,4,1,10,1,2,1,6,1,1,1,6,1,1,0,5,0,2.25,1.5,0,0,1,0,0,0,0,0,1,1,2,1,1,0,1,0,0,-1,-1,-1,1985,35,Alta,Sx,5,9,11,9,8.5
4,2,2,4,1,2,6,1,1,1983,4,1,9,10,1,2,2,1,0,1,5,0,0,1,1,0,1.5,0.5,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,-4,0,1983,37,Alta,Dx,4,2,2,4,3
8,9,8,9,1,1,1,1,,,,,,,,,,,0,0,0,0,,,,,0,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,8,9,8,9,8.5
4,3,4,6,8,1,4,1,1,1980,2,1,5,9,7,5,5,1,7,0,3,0,6,4,4,0,2.5,3.5,1,0,0,0,1,0,0,0,2,0,1,0,2,1,1,0,-1,4,1,0,1980,40,Media,Cdx,4,3,4,6,4.25
4,4,9,5,5,11,11,11,2,1976,6,3,9,12,6,9,10,8,4,10,10,10,5,8,9,7,8.5,7.25,0,1,1,1,0,1,1,1,1,2,2,2,1,2,2,2,1,-2,-1,-3,1976,44,Alta,,4,4,9,5,5.5
11,9,10,8,3,9,11,3,1,1969,3,5,5,6,7,6,5,6,2,8,10,2,6,5,4,5,5.5,5,0,1,1,0,1,0,0,0,1,2,2,1,2,1,1,1,4,-3,-6,3,1969,51,Media,C,11,9,10,8,9.5
8,8,8,8,1,9,10,1,,,,,,,,,,,0,8,9,0,,,,,4.25,,0,1,1,0,,,,,0,2,2,0,,,,,,,,,,,,,8,8,8,8,8
6,1,4,2,8,9,10,6,,,,,,,,,,,7,8,9,5,,,,,7.25,,1,1,1,0,,,,,2,2,2,1,,,,,,,,,,,,,6,1,4,2,3.25
6,9,11,6,4,5,4,3,1,1992,2,5,9,3,2,2,1,1,3,4,3,2,1,1,0,0,3,0.5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,-2,-3,-3,-2,1992,28,Alta,Csx,6,9,11,6,8
4,11,3,11,2,2,2,1,2,1956,1,5,5,,,,,,1,1,1,0,,,,,0.75,,0,0,0,0,,,,,1,1,1,0,,,,,,,,,1956,64,Media,,4,11,3,11,7.25
6,6,8,7,7,2,1,3,1,1962,6,2,10,6,2,1,1,1,6,1,0,2,1,0,0,0,2.25,0.25,1,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,-5,-1,0,-2,1962,58,Alta,C,6,6,8,7,6.75
4,7,4,4,6,1,1,1,2,1951,1,1,4,9,1,1,1,1,5,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-5,0,0,0,1951,69,Media,Cdx,4,7,4,4,4.75
8,4,5,6,1,1,5,1,1,1962,6,5,9,2,1,1,4,1,0,0,4,0,0,0,3,0,1,0.75,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-1,0,1962,58,Alta,Sx,8,4,5,6,5.75
1,1,9,6,6,9,11,4,2,1972,4,1,4,,,,,,5,8,10,3,,,,,6.5,,0,1,1,0,,,,,1,2,2,1,,,,,,,,,1972,48,Media,,1,1,9,6,4.25
6,1,6,6,7,7,7,7,,,,,,,,,,,6,6,6,6,,,,,6,,1,1,1,1,,,,,2,2,2,2,,,,,,,,,,,,,6,1,6,6,4.75
1,1,11,6,7,10,11,7,,,,,,,,,,,6,9,10,6,,,,,7.75,,1,1,1,1,,,,,2,2,2,2,,,,,,,,,,,,,1,1,11,6,4.75
1,5,1,11,12,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,1,11,4.5
6,3,5,7,7,5,7,5,2,1943,1,1,1,7,6,7,7,1,6,4,6,4,5,6,6,0,5,4.25,1,0,1,0,0,1,1,0,2,1,2,1,1,2,2,0,-1,2,0,-4,1943,77,Bassa,Cdx,6,3,5,7,5.25
4,3,2,3,3,3,12,3,,,,,,,,,,,2,2,,2,,,,,,,0,0,,0,,,,,1,1,,1,,,,,,,,,,,,,4,3,2,3,3
8,8,8,8,1,1,1,1,,,,,,,,,,,0,0,0,0,,,,,0,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,8,8,8,8,8
6,6,9,8,1,1,1,1,2,1983,3,3,5,7,1,1,4,1,0,0,0,0,0,0,3,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1983,37,Media,Cdx,6,6,9,8,7.25
9,9,8,10,1,3,4,2,,,,,,,,,,,0,2,3,1,,,,,1.5,,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,9,9,8,10,9
1,3,10,1,2,9,9,1,2,1992,5,2,9,10,1,1,9,12,1,8,8,0,0,0,8,,4.25,,0,1,1,0,0,0,1,,1,2,2,0,0,0,2,,-1,-8,0,,1992,28,Alta,Dx,1,3,10,1,3.75
11,11,11,11,1,1,1,1,,,,,,,,,,,0,0,0,0,,,,,0,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,11,11,11,11,11
1,1,11,1,1,1,11,1,1,1979,4,1,2,13,1,5,7,1,0,0,10,0,0,4,6,0,2.5,2.5,0,0,1,0,0,0,1,0,0,0,2,0,0,1,2,0,0,4,-4,0,1979,41,Bassa,NC,1,1,11,1,3.5
6,6,3,6,2,2,2,2,2,1956,5,2,2,13,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,-1,-1,-1,-1,1956,64,Bassa,NC,6,6,3,6,5.25
10,10,9,9,9,5,7,7,1,1974,3,3,2,1,8,4,9,5,8,4,6,6,7,3,8,4,6,5.5,1,0,1,1,1,0,1,0,2,1,2,2,2,1,2,1,-1,-1,2,-2,1974,46,Bassa,Sx,10,10,9,9,9.5
12,6,5,6,4,2,2,4,,,,,,,,,,,3,1,1,3,,,,,2,,0,0,0,0,,,,,1,1,1,1,,,,,,,,,,,,,,6,5,6,
1,1,1,12,1,1,1,1,2,1942,4,1,2,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1942,78,Bassa,C,1,1,1,,
3,2,1,2,3,1,1,3,1,1944,6,1,2,5,1,1,4,3,2,0,0,2,0,0,3,2,1,1.25,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,-2,0,3,0,1944,76,Bassa,Csx,3,2,1,2,2
3,1,1,1,6,1,7,1,,,,,,,,,,,5,0,6,0,,,,,2.75,,0,0,1,0,,,,,1,0,2,0,,,,,,,,,,,,,3,1,1,1,1.5
6,7,6,7,2,1,9,7,2,1984,4,3,9,,,,,,1,0,8,6,,,,,3.75,,0,0,1,1,,,,,1,0,2,2,,,,,,,,,1984,36,Alta,,6,7,6,7,6.5
1,1,2,1,6,1,1,1,2,1986,2,3,5,11,1,2,12,1,5,0,0,0,0,1,,0,1.25,,0,0,0,0,0,0,,0,1,0,0,0,0,1,,0,-5,1,,0,1986,34,Media,Dx,1,1,2,1,1.25
8,8,8,8,4,5,8,5,2,1965,4,3,5,11,3,8,8,3,3,4,7,4,2,7,7,2,4.5,4.5,0,0,1,0,0,1,1,0,1,1,2,1,1,2,2,1,-1,3,0,-2,1965,55,Media,Dx,8,8,8,8,8
11,11,9,11,8,8,9,9,,,,,,,,,,,7,7,8,8,,,,,7.5,,1,1,1,1,,,,,2,2,2,2,,,,,,,,,,,,,11,11,9,11,10.5
1,2,4,5,1,2,1,1,1,1973,4,4,10,2,1,1,1,1,0,1,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,1973,47,Alta,Sx,1,2,4,5,3
9,11,11,10,1,1,1,1,2,1971,4,3,5,,,,,,0,0,0,0,,,,,0,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,1971,49,Media,,9,11,11,10,10.25
4,1,1,12,2,1,11,2,,,,,,,,,,,1,0,10,1,,,,,3,,0,0,1,0,,,,,1,0,2,1,,,,,,,,,,,,,4,1,1,,
7,1,2,1,3,8,12,2,1,1987,4,2,9,9,5,6,12,2,2,7,,1,4,5,,1,,,0,1,,0,0,0,,0,1,2,,1,1,1,,1,2,-2,,0,1987,33,Alta,Cdx,7,1,2,1,2.75
1,1,1,1,1,1,1,1,1,1984,6,5,9,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1984,36,Alta,C,1,1,1,1,1
9,7,7,9,6,5,6,6,,,,,,,,,,,5,4,5,5,,,,,4.75,,0,0,0,0,,,,,1,1,1,1,,,,,,,,,,,,,9,7,7,9,8
6,8,9,7,1,2,8,1,,,,,,,,,,,0,1,7,0,,,,,2,,0,0,1,0,,,,,0,1,2,0,,,,,,,,,,,,,6,8,9,7,7.5
7,6,5,8,2,2,2,2,1,1954,3,2,5,3,1,1,7,1,1,1,1,1,0,0,6,0,1,1.5,0,0,0,0,0,0,1,0,1,1,1,1,0,0,2,0,-1,-1,5,-1,1954,66,Media,Csx,7,6,5,8,6.5
7,9,8,9,1,1,1,1,1,1958,4,4,7,8,1,2,2,1,0,0,0,0,0,1,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1958,62,Alta,Cdx,7,9,8,9,8.25
6,7,5,7,1,1,1,1,2,1979,4,2,9,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1979,41,Alta,Csx,6,7,5,7,6.25
10,9,9,10,11,1,1,1,1,1961,4,5,5,8,9,1,1,1,10,0,0,0,8,0,0,0,2.5,2,1,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,-2,0,0,0,1961,59,Media,Cdx,10,9,9,10,9.5
8,8,6,8,1,2,9,3,1,1949,4,3,2,13,12,5,12,12,0,1,8,2,,4,,,2.75,,0,0,1,0,,0,,,0,1,2,1,,1,,,,3,,,1949,71,Bassa,NC,8,8,6,8,7.5
6,8,9,9,8,9,8,9,,,,,,,,,,,7,8,7,8,,,,,7.5,,1,1,1,1,,,,,2,2,2,2,,,,,,,,,,,,,6,8,9,9,8
6,6,6,6,2,3,2,3,,,,,,,,,,,1,2,1,2,,,,,1.5,,0,0,0,0,,,,,1,1,1,1,,,,,,,,,,,,,6,6,6,6,6
4,3,1,6,12,11,8,12,,,,,,,,,,,,10,7,,,,,,,,,1,1,,,,,,,2,2,,,,,,,,,,,,,,4,3,1,6,3.5
7,6,6,3,1,1,12,1,,,,,,,,,,,0,0,,0,,,,,,,0,0,,0,,,,,0,0,,0,,,,,,,,,,,,,7,6,6,3,5.5
6,8,8,10,1,1,1,1,1,1967,3,2,5,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1967,53,Media,Sx,6,8,8,10,8
1,1,12,6,1,1,6,6,,,,,,,,,,,0,0,5,5,,,,,2.5,,0,0,0,0,,,,,0,0,1,1,,,,,,,,,,,,,1,1,,6,
4,4,4,7,7,1,5,8,1,1967,5,3,2,11,7,7,7,6,6,0,4,7,6,6,6,5,4.25,5.75,1,0,0,1,1,1,1,0,2,0,1,2,2,2,2,1,0,6,2,-2,1967,53,Bassa,Dx,4,4,4,7,4.75
11,12,11,12,1,1,1,1,,,,,,,,,,,0,0,0,0,,,,,0,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,11,,11,,
1,3,5,4,3,1,1,2,1,1953,6,3,5,8,1,4,8,1,2,0,0,1,0,3,7,0,0.75,2.5,0,0,0,0,0,0,1,0,1,0,0,1,0,1,2,0,-2,3,7,-1,1953,67,Media,Cdx,1,3,5,4,3.25
2,2,3,3,3,7,6,8,1,1950,4,2,5,5,1,4,9,1,2,6,5,7,0,3,8,0,5,2.75,0,1,0,1,0,0,1,0,1,2,1,2,0,1,2,0,-2,-3,3,-7,1950,70,Media,Csx,2,2,3,3,2.5
7,7,11,7,1,1,1,1,,,,,,,,,,,0,0,0,0,,,,,0,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,7,7,11,7,8
9,11,4,11,1,3,3,1,1,1962,3,3,5,1,1,2,1,1,0,2,2,0,0,1,0,0,1,0.25,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,-1,-2,0,1962,58,Media,Sx,9,11,4,11,8.75
8,8,8,8,6,6,6,6,2,1979,4,3,5,3,7,4,2,3,5,5,5,5,6,3,1,2,5,3,0,0,0,0,1,0,0,0,1,1,1,1,2,1,1,1,1,-2,-4,-3,1979,41,Media,Csx,8,8,8,8,8
7,9,6,8,2,1,12,12,1,1953,1,1,2,9,1,1,12,1,1,0,,,0,0,,0,,,0,0,,,0,0,,0,1,0,,,0,0,,0,-1,0,,,1953,67,Bassa,Cdx,7,9,6,8,7.5
10,9,9,10,1,1,1,1,1,1985,3,4,9,4,1,5,1,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1985,35,Alta,Csx,10,9,9,10,9.5
8,5,6,7,1,1,1,1,2,1945,1,1,2,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1945,75,Bassa,Csx,8,5,6,7,6.5
7,3,7,7,3,10,8,8,2,1974,4,1,9,13,4,8,7,8,2,9,7,7,3,7,6,7,6.25,5.75,0,1,1,1,0,1,1,1,1,2,2,2,1,2,2,2,1,-2,-1,0,1974,46,Alta,NC,7,3,7,7,6
6,2,6,2,6,7,7,7,1,1980,6,1,9,8,5,4,3,3,5,6,6,6,4,3,2,2,5.75,2.75,0,1,1,1,0,0,0,0,1,2,2,2,1,1,1,1,-1,-3,-4,-4,1980,40,Alta,Cdx,6,2,6,2,4
2,2,12,3,1,3,5,1,2,1973,2,1,2,,,,,,0,2,4,0,,,,,1.5,,0,0,0,0,,,,,0,1,1,0,,,,,,,,,1973,47,Bassa,,2,2,,3,
3,3,9,3,1,7,9,2,1,1967,3,4,5,3,6,5,9,1,0,6,8,1,5,4,8,0,3.75,4.25,0,1,1,0,0,0,1,0,0,2,2,1,1,1,2,0,5,-2,0,-1,1967,53,Media,Csx,3,3,9,3,4.5
4,5,10,3,8,2,2,3,1,1965,4,1,5,1,7,7,7,6,7,1,1,2,6,6,6,5,2.75,5.75,1,0,0,0,1,1,1,0,2,1,1,1,2,2,2,1,-1,5,5,3,1965,55,Media,Sx,4,5,10,3,5.5
6,5,9,7,1,1,1,1,1,1978,3,4,9,7,1,1,4,1,0,0,0,0,0,0,3,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1978,42,Alta,Cdx,6,5,9,7,6.75
8,7,2,8,3,6,6,5,1,1959,4,3,10,6,2,4,3,2,2,5,5,4,1,3,2,1,4,1.75,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,-1,-2,-3,-3,1959,61,Alta,C,8,7,2,8,6.25
5,11,7,9,10,8,10,11,1,1974,3,1,2,11,7,1,11,7,9,7,9,10,6,0,10,6,8.75,5.5,1,1,1,1,1,0,1,1,2,2,2,2,2,0,2,2,-3,-7,1,-4,1974,46,Bassa,Dx,5,11,7,9,8
9,9,6,11,1,1,1,1,1,1986,6,3,11,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986,34,Alta,Sx,9,9,6,11,8.75
12,12,12,12,12,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,12,6,5,8,7,12,,,,,,,,,,,4,7,6,,,,,,,,0,1,1,,,,,,1,2,2,,,,,,,,,,,,,,4,6,,6,
8,3,8,4,5,10,3,1,2,1977,5,3,4,8,9,1,1,1,4,9,2,0,8,0,0,0,3.75,2,0,1,0,0,1,0,0,0,1,2,1,0,2,0,0,0,4,-9,-2,0,1977,43,Media,Cdx,8,3,8,4,5.75
9,10,10,3,7,5,7,5,2,1958,4,5,5,6,1,7,8,1,6,4,6,4,0,6,7,0,5,3.25,1,0,1,0,0,1,1,0,2,1,2,1,0,2,2,0,-6,2,1,-4,1958,62,Media,C,9,10,10,3,8
7,1,8,7,7,7,8,8,1,1960,4,1,10,8,1,1,1,1,6,6,7,7,0,0,0,0,6.5,0,1,1,1,1,0,0,0,0,2,2,2,2,0,0,0,0,-6,-6,-7,-7,1960,60,Alta,Cdx,7,1,8,7,5.75
6,1,7,4,6,5,3,6,1,1980,2,2,5,13,1,5,5,1,5,4,2,5,0,4,4,0,4,2,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,-5,0,2,-5,1980,40,Media,NC,6,1,7,4,4.5
7,6,7,6,9,9,8,4,,,,,,,,,,,8,8,7,3,,,,,6.5,,1,1,1,0,,,,,2,2,2,1,,,,,,,,,,,,,7,6,7,6,6.5
3,6,6,6,5,4,1,1,,,,,,,,,,,4,3,0,0,,,,,1.75,,0,0,0,0,,,,,1,1,0,0,,,,,,,,,,,,,3,6,6,6,5.25
8,10,11,9,1,1,1,1,,,,,,,,,,,0,0,0,0,,,,,0,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,8,10,11,9,9.5
9,8,7,8,8,11,9,9,,,,,,,,,,,7,10,8,8,,,,,8.25,,1,1,1,1,,,,,2,2,2,2,,,,,,,,,,,,,9,8,7,8,8
1,2,5,1,7,7,6,7,2,1973,4,3,5,13,1,5,6,1,6,6,5,6,0,4,5,0,5.75,2.25,1,1,0,1,0,0,0,0,2,2,1,2,0,1,1,0,-6,-2,0,-6,1973,47,Media,NC,1,2,5,1,2.25
1,1,11,6,1,1,1,1,,,,,,,,,,,0,0,0,0,,,,,0,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,1,1,11,6,4.75
9,8,9,10,6,6,5,5,1,1987,3,3,10,,,,,,5,5,4,4,,,,,4.5,,0,0,0,0,,,,,1,1,1,1,,,,,,,,,1987,33,Alta,,9,8,9,10,9
1,1,11,1,1,3,9,1,2,1964,1,1,5,8,1,1,5,1,0,2,8,0,0,0,4,0,2.5,1,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,-2,-4,0,1964,56,Media,Cdx,1,1,11,1,3.5
5,3,4,5,6,6,8,11,,,,,,,,,,,5,5,7,10,,,,,6.75,,0,0,1,1,,,,,1,1,2,2,,,,,,,,,,,,,5,3,4,5,4.25
9,7,1,9,6,6,7,6,2,1957,4,4,4,4,5,6,6,5,5,5,6,5,4,5,5,4,5.25,4.5,0,0,1,0,0,0,0,0,1,1,2,1,1,1,1,1,-1,0,-1,-1,1957,63,Media,Csx,9,7,1,9,6.5
12,12,12,12,12,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,10,8,7,2,8,4,,,,,,,,,,,6,1,7,3,,,,,4.25,,1,0,1,0,,,,,2,1,2,1,,,,,,,,,,,,,8,8,10,8,8.5
1,1,1,1,1,1,11,1,2,1954,6,3,4,,,,,,0,0,10,0,,,,,2.5,,0,0,1,0,,,,,0,0,2,0,,,,,,,,,1954,66,Media,,1,1,1,1,1
7,7,11,4,2,1,3,2,1,1986,2,4,10,4,3,1,1,2,1,0,2,1,2,0,0,1,1,0.75,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,-2,0,1986,34,Alta,Csx,7,7,11,4,7.25
4,6,5,7,1,1,3,1,2,1960,6,1,5,3,1,1,1,1,0,0,2,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2,0,1960,60,Media,Csx,4,6,5,7,5.5
9,1,2,8,4,10,11,12,,,,,,,,,,,3,9,10,,,,,,,,0,1,1,,,,,,1,2,2,,,,,,,,,,,,,,9,1,2,8,5
5,5,5,5,4,6,8,6,2,1965,3,3,9,13,5,6,5,12,3,5,7,5,4,5,4,,5,,0,0,1,0,0,0,0,,1,1,2,1,1,1,1,,1,0,-3,,1965,55,Alta,NC,5,5,5,5,5
6,3,6,6,12,12,12,12,1,1950,3,1,2,1,1,3,12,1,,,,,0,2,,0,,,,,,,0,0,,0,,,,,0,1,,0,,,,,1950,70,Bassa,Sx,6,3,6,6,5.25
9,7,8,1,1,7,8,11,1,1962,5,3,9,12,1,2,8,1,0,6,7,10,0,1,7,0,5.75,2,0,1,1,1,0,0,1,0,0,2,2,2,0,1,2,0,0,-5,0,-10,1962,58,Alta,,9,7,8,1,6.25
6,3,6,6,7,5,2,4,,,,,,,,,,,6,4,1,3,,,,,3.5,,1,0,0,0,,,,,2,1,1,1,,,,,,,,,,,,,6,3,6,6,5.25
3,1,8,3,1,1,1,1,1,1969,5,2,6,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1969,51,Alta,Sx,3,1,8,3,3.75
7,6,8,9,1,1,3,1,2,1953,5,2,5,3,1,1,1,1,0,0,2,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2,0,1953,67,Media,Csx,7,6,8,9,7.5
12,12,12,12,6,6,6,6,2,1963,6,1,5,9,1,1,1,1,5,5,5,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,-5,-5,-5,-5,1963,57,Media,Cdx,,,,,
3,4,5,2,1,1,1,1,1,1985,4,1,9,6,1,11,1,1,0,0,0,0,0,10,0,0,0,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,10,0,0,1985,35,Alta,C,3,4,5,2,3.5
11,1,1,1,1,1,1,3,1,1961,5,5,5,,,,,,0,0,0,2,,,,,0.5,,0,0,0,0,,,,,0,0,0,1,,,,,,,,,1961,59,Media,,11,1,1,1,3.5
7,4,8,7,2,1,1,1,1,1970,4,3,9,5,3,1,1,1,1,0,0,0,2,0,0,0,0.25,0.5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1970,50,Alta,Csx,7,4,8,7,6.5
7,7,9,7,7,7,6,6,1,1941,2,4,9,4,3,2,4,1,6,6,5,5,2,1,3,0,5.5,1.5,1,1,0,0,0,0,0,0,2,2,1,1,1,1,1,0,-4,-5,-2,-5,1941,79,Alta,Csx,7,7,9,7,7.5
7,3,8,4,3,7,6,3,1,1979,6,4,6,11,1,2,7,1,2,6,5,2,0,1,6,0,3.75,1.75,0,1,0,0,0,0,1,0,1,2,1,1,0,1,2,0,-2,-5,1,-2,1979,41,Alta,Dx,7,3,8,4,5.5
9,8,7,11,1,1,1,1,1,1962,4,1,9,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1962,58,Alta,C,9,8,7,11,8.75
12,12,9,12,3,1,1,1,2,1989,4,2,8,4,1,1,1,1,2,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2,0,0,0,1989,31,Alta,Csx,,,9,,
